Hush Hush (Hush Hush #1), 3.99, 473101
The Five People You Meet in Heaven, 3.90, 480016
The Godfather, 4.36, 274499
Harry Potter and the Goblet of Fire (Harry Potter #4), 4.53, 1920387
In Cold Blood, 4.05, 411852
Lonesome Dove, 4.47, 118905
The Cat in the Hat, 4.15, 324659
Fight Club, 4.20, 396934
The Little House Collection (Little House #1-9), 4.33, 129817
Holes (Holes #1), 3.94, 787508
The Compleat Works of Wllm Shkspr, 4.47, 7484
Watchmen, 4.35, 420415
The Divine Comedy, 4.06, 90819
Harry Potter and the Half-Blood Prince (Harry Potter #6), 4.54, 1833141
American Gods (American Gods #1), 4.11, 546907
Peter Pan, 4.10, 202317
Shadow Kiss (Vampire Academy #3), 4.37, 285349
All Quiet on the Western Front, 3.93, 274701
Perfume: The Story of a Murderer, really liked it 4.00, 231634
Insurgent (Divergent #2), 4.07, 964760
A Walk to Remember, 4.15, 563264
The Lion the Witch and the Wardrobe (Chronicles of Narnia #1), 4.19, 1638301
Love in the Time of Cholera, 3.89, 329357
The Last Olympian (Percy Jackson and the Olympians #5), 4.50, 513471
The Thorn Birds, 4.22, 271488
It, 4.19, 521923
The Count of Monte Cristo, 4.22, 613752
How the Grinch Stole Christmas!, 4.36, 262816
Their Eyes Were Watching God, 3.87, 202735
Frostbite (Vampire Academy #2), 4.30, 273624
Eat Pray Love, 3.51, 1230194
The Importance of Being Earnest, 4.17, 240245
The Ultimate Hitchhiker's Guide to the Galaxy, 4.38, 242163
Atonement, 3.88, 371672
Goodnight Moon, 4.27, 255587
The Three Musketeers (The D'Artagnan Romances #1), 4.06, 226703
The Wonderful Wizard of Oz (Oz #1), 3.98, 285781
The Lorax, 4.35, 232447
Blood Promise (Vampire Academy #4), 4.35, 247696
The Good Earth (House of Earth #1), 3.97, 195958
Where the Red Fern Grows, 4.04, 284971
Harry Potter and the Chamber of Secrets (Harry Potter #2), 4.38, 1965490
Tess of the D'Urbervilles, 3.77, 195837
The Prophet, 4.23, 169099
A Midsummer Night's Dream, 3.94, 370213
The Mists of Avalon (Avalon #1), 4.12, 165748
Heart of Darkness, 3.42, 317499
The Joy Luck Club, 3.90, 531188
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter Witch, 4.25, 339211
Jonathan Livingston Seagull, 3.80, 154801
The Battle of the Labyrinth (Percy Jackson and the Olympians #4), 4.39, 551770
The Phantom Tollbooth, 4.22, 190705
Alice in Wonderland, 4.03, 347065
Madame Bovary, 3.65, 192452
The Call of the Wild, 3.83, 255327
The Sea of Monsters (Percy Jackson and the Olympians #2), 4.23, 566587
The Girl Who Played with Fire (Millennium #2), 4.22, 665320
Oh The Places You'll Go!, 4.34, 267379
Bridge to Terabithia, 3.98, 361348
Fifty Shades of Grey (Fifty Shades #1), 3.66, 1453950
The Titan's Curse (Percy Jackson and the Olympians #3), 4.34, 506674
Oliver Twist, 3.85, 260479
Clockwork Princess (The Infernal Devices #3), 4.59, 255501
The Hunger Games Trilogy Boxset (The Hunger Games #1-3), 4.49, 162607
The Canterbury Tales, 3.48, 160849
The Clan of the Cave Bear (Earth's Children #1), 4.02, 190803
Ulysses, 3.74, 88682
The Maze Runner (Maze Runner #1), 4.03, 807821
A Farewell to Arms, 3.79, 212293
Treasure Island, 3.82, 319867
The World According to Garp, 4.07, 181529
The Neverending Story, 4.18, 127412
Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years #1), 3.52, 528198
The Hobbit, 4.25, 2242644
David Copperfield, 3.96, 167668
Thirteen Reasons Why, 4.01, 588760
The Other Boleyn Girl (The Plantagenet and Tudor Novels #9), 4.04, 404067
Shōgun (Asian Saga #1), 4.37, 118449
A Storm of Swords (A Song of Ice and Fire #3), 4.54, 540580
Last Sacrifice (Vampire Academy #6), 4.42, 223314
Extremely Loud and Incredibly Close, 3.97, 325574
Fallen (Fallen #1), 3.74, 417374
Schindler's List, 4.34, 114288
His Dark Materials (His Dark Materials #1-3), 4.25, 103948
Spirit Bound (Vampire Academy #5), 4.37, 237672
A Little Princess, 4.19, 223635
The Secret Magdalene, 4.21, 3205
The Sun Also Rises, 3.83, 309453
A Confederacy of Dunces, 3.89, 189397
The Velveteen Rabbit, 4.29, 189798
Jurassic Park (Jurassic Park #1), 3.97, 663799
Beloved, 3.78, 250529
The Boy in the Striped Pajamas, 4.10, 339584
The Silmarillion, 3.88, 164932
The Crucible, 3.55, 259147
Cat's Cradle, 4.18, 280103
Girl with a Pearl Earring, 3.85, 509359
Shiver (The Wolves of Mercy Falls #1), 3.78, 376380
She's Come Undone, 3.85, 272899
Murder on the Orient Express (Hercule Poirot #10), 4.16, 202856
The Hiding Place: The Triumphant True Story of Corrie Ten Boom, 4.42, 185892
The Wind in the Willows, 3.98, 144137
Marley and Me: Life and Love With the World's Worst Dog, 4.12, 387030
A Light in the Attic, 4.34, 312662
The Lost Hero (The Heroes of Olympus #1), 4.35, 500362
The God of Small Things, 3.92, 187638
Clockwork Prince (The Infernal Devices #2), 4.46, 341673
The Iliad/The Odyssey, 4.03, 52289
Uglies (Uglies #1), 3.86, 474668
The Trial, 3.98, 165836
City of Fallen Angels (The Mortal Instruments #4), 4.16, 382774
The Silence of the Lambs  (Hannibal Lecter #2), 4.15, 372607
The Screwtape Letters, 4.21, 246494
Marked (House of Night #1), 3.79, 377091
The Night Circus, 4.03, 491360
The Phantom of the Opera, 3.97, 160892
Ella Enchanted, 3.97, 351091
The Wind-Up Bird Chronicle, 4.17, 164573
The Sound and the Fury, 3.86, 135689
Man's Search for Meaning, 4.33, 206094
Midnight Sun (Twilight #1.5), 4.03, 138987
The Selection (The Selection #1), 4.15, 570491
The Shack, 3.74, 447640
Fear and Loathing in Las Vegas, 4.08, 247716
Roots: The Saga of an American Family, 4.42, 124828
Blindness, 4.08, 138032
For Whom the Bell Tolls, 3.96, 210486
Island of the Blue Dolphins (Island of the Blue Dolphins #1), 3.80, 249546
A Clash of Kings  (A Song of Ice and Fire #2), 4.40, 624032
Stranger in a Strange Land, 3.91, 233679
The Complete Calvin and Hobbes, 4.82, 30483
The House of the Spirits, 4.20, 143646
Delirium (Delirium #1), 3.99, 360030
The Guernsey Literary and Potato Peel Pie Society, 4.12, 431826
I Know This Much Is True, 4.17, 261106
White Oleander, 3.94, 258124
Beautiful Disaster (Beautiful #1), 4.14, 452585
The Girl Who Kicked the Hornet's Nest (Millennium #3), 4.21, 537657
Othello, 3.88, 261685
Lamb: The Gospel According to Biff Christ's Childhood Pal, 4.26, 128136
The Vampire Lestat (The Vampire Chronicles #2), 4.06, 153358
Flow Down Like Silver: Hypatia of Alexandria, 4.47, 1852
The Green Mile, 4.42, 196070
The Once and Future King (The Once and Future King #1-4), 4.08, 84136
King Lear, 3.90, 150264
Catching Fire (The Hunger Games #2), 4.30, 2020505
Paper Towns, 3.88, 670628
The Historian, 3.77, 211349
Throne of Glass (Throne of Glass #1), 4.23, 355474
Into the Wild, 3.95, 685318
The Idiot, 4.18, 94520
Misery, 4.12, 364753
Speak, really liked it 4.00, 381404
James and the Giant Peach, 3.99, 297645
Uncle Tom's Cabin, 3.83, 160309
Neverwhere, 4.18, 313671
Invisible Man, 3.84, 130323
All Creatures Great and Small, 4.31, 99430
Leaves of Grass, 4.13, 68850
The Thirteenth Tale, 3.95, 232588
Inkheart (Inkworld #1), 3.86, 305861
Howl's Moving Castle (Howl's Moving Castle #1), 4.30, 144756
Where the Red Fern Grows, 4.04, 284971
Paradise Lost, 3.80, 106619
Graceling (Graceling Realm #1), 4.10, 305301
Different Seasons, 4.34, 141577
Candide, 3.76, 176155
The Cider House Rules, 4.10, 136528
The Complete Works, 4.49, 46528
Cinder (The Lunar Chronicles #1), 4.15, 480087
The Things They Carried, 4.12, 190191
Walden, 3.79, 123609
Heidi, 3.97, 156190
Are You There God? It's Me Margaret, 3.89, 164413
Sophie's Choice, 4.19, 72159
The Awakening, 3.63, 140913
Sophie's World, 3.88, 147119
Foundation (Foundation #1), 4.13, 307119
The Prince of Tides, 4.22, 168042
The Complete Sherlock Holmes, 4.50, 129425
City of Lost Souls (The Mortal Instruments #5), 4.30, 336263
The Time Machine, 3.87, 312856
The Secret History, 4.08, 197369
The Monster at the End of this Book, 4.45, 107129
Dead Until Dark (Sookie Stackhouse #1), 3.96, 450291
Norwegian Wood, 4.02, 226898
Franny and Zooey, 3.98, 164908
Fried Green Tomatoes at the Whistle Stop Cafe, 4.26, 222003
Bridget Jones's Diary (Bridget Jones #1), 3.75, 769624
Fifty Shades Darker (Fifty Shades #2), 3.87, 631085
Kafka on the Shore, 4.13, 203602
The Power of One (The Power of One #1), 4.34, 62457
Middlemarch, 3.93, 110077
Things Fall Apart (The African Trilogy #1), 3.61, 219126
The Son of Neptune (The Heroes of Olympus #2), 4.44, 326096
The Wise Man's Fear (The Kingkiller Chronicle #2), 4.57, 294264
The Magician's Nephew (Chronicles of Narnia #6), 4.02, 310802
Mrs. Dalloway, 3.78, 164960
The Complete Novels, 4.55, 22950
Stardust, 4.08, 284022
A Time to Kill, 4.03, 617556
Cold Mountain, 3.83, 193156
Bel Canto, 3.92, 204149
A Short History of Nearly Everything, 4.19, 212807
If I Stay (If I Stay #1), 3.96, 584014
Gulliver's Travels, 3.56, 192467
Never Let Me Go, 3.80, 335719
Fifty Shades Freed (Fifty Shades #3), 3.88, 617310
Allegiant (Divergent #3), 3.63, 677459
The Art of Racing in the Rain, 4.19, 362012
The Qur'an / القرآن الكريم, 4.34, 44909
A Portrait of the Artist as a Young Man, 3.61, 105316
Fangirl, 4.11, 392891
Black Beauty, 3.94, 198852
Number the Stars, 4.11, 348534
Legend (Legend #1), 4.19, 329763
Gone Girl, 4.04, 1675133
The Witches, 4.17, 241628
Beautiful Creatures (Caster Chronicles #1), 3.76, 467515
Love You Forever, 4.35, 166231
The Hound of the Baskervilles, 4.09, 183670
Dark Lover (Black Dagger Brotherhood #1), 4.21, 246021
V for Vendetta, 4.25, 223103
Eldest (The Inheritance Cycle #2), 3.96, 279241
The Mark of Athena (The Heroes of Olympus #3), 4.47, 318151
The Diary of a Young Girl, 4.10, 2092428
Go Ask Alice, 3.77, 208165
A Separate Peace, 3.56, 164772
The Gunslinger (The Dark Tower #1), 3.98, 387844
White Fang, 3.94, 117467
The Tell-Tale Heart and Other Writings, 4.15, 198705
Do Androids Dream of Electric Sheep?, 4.08, 254471
The Graveyard Book, 4.12, 337470
As I Lay Dying, 3.72, 113030
Mansfield Park, 3.84, 230728
Beowulf, 3.42, 185346
Dear John, 4.02, 463220
Tuck Everlasting, 3.86, 187490
Eleanor & Park, 4.11, 608549
Crescendo (Hush Hush #2), 4.07, 237885
The Amazing Adventures of Kavalier & Clay, 4.17, 159593
The Last Song, 4.14, 446233
My Ántonia, 3.77, 103172
Brisingr (The Inheritance Cycle #3), 4.03, 232410
A Child Called "It" (Dave Pelzer #1), 4.09, 324815
The Firm, 3.99, 495709
The English Patient, 3.88, 93680
Stargirl (Stargirl #1), 3.75, 250800
Midnight's Children, 3.99, 86437
Obsidian (Lux #1), 4.23, 180763
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values, 3.76, 158293
The Complete Maus (Maus #1-2), 4.53, 87906
Tao Te Ching, 4.32, 82866
The Martian Chronicles, 4.12, 160925
Like Water for Chocolate, 3.94, 288819
Doctor Zhivago, 4.03, 67183
The Eye of the World (Wheel of Time #1), 4.18, 281940
Breakfast at Tiffany's, 3.90, 164893
Steppenwolf, 4.11, 100502
The Amber Spyglass (His Dark Materials #3), 4.07, 223376
Evermore (The Immortals #1), 3.59, 238834
Robinson Crusoe, 3.66, 201619
Mockingjay (The Hunger Games #3), 4.03, 1903230
Inferno (The Divine Comedy #1), 3.99, 112313
'Salem's Lot, 3.99, 252189
The Angel Experiment (Maximum Ride #1), 4.08, 186189
Me Before You (Me Before You #1), 4.27, 770436
The Hunchback of Notre-Dame, 3.98, 137530
Dragonfly in Amber (Outlander #2), 4.31, 217973
The Origin of Species, 3.97, 77520
Cloud Atlas, 4.01, 175909
A Streetcar Named Desire, 3.97, 216993
Shatter Me (Shatter Me #1), 4.01, 206337
A Fine Balance, 4.35, 106341
The BFG, 4.22, 274142
Death of a Salesman, 3.49, 150733
The Subtle Knife (His Dark Materials #2), 4.11, 277724
Snow Flower and the Secret Fan, 4.06, 295943
Blood River: A Journey to Africa's Broken Heart, 4.05, 5682
Faust: First Part, 3.93, 49806
Room, 4.03, 571042
Breakfast of Champions, 4.08, 190253
Houdini Heart, 4.25, 1730
The Shipping News, 3.84, 111495
Midnight in the Garden of Good and Evil, 3.90, 179410
American Psycho, 3.81, 181938
Anna and the French Kiss (Anna and the French Kiss #1), 4.07, 295494
The Scarlet Pimpernel, 4.06, 105443
Infinite Jest, 4.31, 58517
High Fidelity, 3.94, 152871
Hopeless (Hopeless #1), 4.33, 213707
The Prince, 3.78, 186865
The Reader, 3.73, 144252
The Chosen, 4.04, 74269
Daughter of Smoke & Bone (Daughter of Smoke & Bone #1), 4.04, 237481
The Plague, 3.97, 114920
Matched (Matched #1), 3.68, 543896
The Final Empire (Mistborn #1), 4.43, 249799
The Remains of the Day, 4.10, 130139
The Tales of Beedle the Bard, 4.07, 326772
Ready Player One, 4.31, 463938
Nineteen Minutes, 4.10, 256450
Betrayed (House of Night #2), 3.93, 215034
Flowers in the Attic (Dollanganger #1), 3.79, 125062
City of Heavenly Fire (The Mortal Instruments #6), 4.48, 211361
The Virgin Suicides, 3.83, 186186
The Way of Kings (The Stormlight Archive #1), 4.64, 175057
Unbroken: A World War II Story of Survival Resilience and Redemption, 4.39, 550783
Blood Meridian or the Evening Redness in the West, 4.18, 81982
Jonathan Strange & Mr Norrell, 3.81, 159225
Untamed (House of Night #4), 3.95, 199861
Artemis Fowl (Artemis Fowl #1), 3.82, 407123
A Feast for Crows (A Song of Ice and Fire #4), 4.10, 494036
The Age of Innocence, 3.93, 117270
Lover Awakened (Black Dagger Brotherhood #3), 4.45, 144505
The Waste Land, 4.11, 32882
Redeeming Love, 4.49, 165747
Neuromancer (Sprawl #1), 3.88, 207039
Divine Secrets of the Ya-Ya Sisterhood, 3.79, 474780
Pippi Longstocking, 4.11, 133477
The Pearl, 3.41, 150086
The Devil in the White City: Murder Magic and Madness at the Fair That Changed America, 3.99, 360104
Shantaram, 4.26, 116146
The Strange Case of Dr. Jekyll and Mr. Hyde, 3.79, 269566
Chosen (House of Night #3), 3.91, 194298
Northanger Abbey, 3.80, 238792
Wonder, 4.44, 419190
Me Talk Pretty One Day, 3.97, 523587
The Lord of the Rings (The Lord of the Rings #1-3), 4.48, 448349
The Jungle, 3.72, 111271
The Lost Symbol (Robert Langdon #3), 3.66, 416045
The Twilight Collection (Twilight #1-3), 3.78, 42599
Dubliners, 3.86, 93923
Snow Falling on Cedars, 3.80, 139574
Waiting for Godot, 3.82, 118097
Harry Potter Boxset (Harry Potter #1-7), 4.74, 208989
Everything Is Illuminated, 3.90, 146474
To the Lighthouse, 3.76, 98226
The Voyage of the Dawn Treader (Chronicles of Narnia #3), 4.08, 330924
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1), 3.89, 707832
I Claudius (Claudius #1), 4.27, 43132
The Martian, 4.40, 549569
East of Eden, 4.35, 343938
A Room with a View, 3.91, 123853
Bloodlines (Bloodlines #1), 4.22, 148476
The Last Battle (Chronicles of Narnia #7), 4.03, 178020
The Iron King (The Iron Fey #1), 3.92, 165418
I Robot (Robot #0.1), 4.17, 214317
11/22/63, 4.29, 313643
Bleak House, really liked it 4.00, 77988
I Know Why the Caged Bird Sings, 4.19, 294323
A Dance with Dragons (A Song of Ice and Fire #5), 4.31, 436759
The House of Hades (The Heroes of Olympus #4), 4.55, 183662
Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder, 3.99, 78033
Carrie, 3.93, 388784
Torment (Fallen #2), 3.89, 184892
The Exorcist, 4.14, 135676
Vanity Fair, 3.77, 100126
Voyager (Outlander #3), 4.38, 192795
The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass (The Mortal Instruments #1-3), 4.57, 58664
Johnny Got His Gun, 4.16, 27846
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time, 3.64, 292387
The God Delusion, 3.89, 182370
Bared to You (Crossfire #1), 4.19, 393032
The Witching Hour (Lives of the Mayfair Witches #1), 4.10, 89407
Halfway to the Grave (Night Huntress #1), 4.18, 115912
A Great and Terrible Beauty (Gemma Doyle #1), 3.79, 184127
The Complete Poems of Emily Dickinson, 4.21, 62553
Chocolat (Chocolat #1), 3.95, 94820
Perfect Chemistry (Perfect Chemistry #1), 4.07, 209382
Of Human Bondage, 4.12, 39322
North and South, 4.13, 110163
A Court of Mist and Fury (A Court of Thorns and Roses #2), 4.71, 143261
The Republic, 3.91, 127586
Cry the Beloved Country, 3.87, 54766
World War Z: An Oral History of the Zombie War, 4.01, 353996
The Summoning (Darkest Powers #1), 4.03, 138959
Wizard's First Rule (Sword of Truth #1), 4.13, 192304
The One (The Selection #3), 4.21, 247529
Are You My Mother?, 4.16, 181437
Snow Crash, 4.02, 191719
The 5th Wave (The 5th Wave #1), 4.10, 301074
Cannery Row, 4.02, 91100
The Host (The Host #1), 3.84, 786224
You Are Special (Wemmicksville #1), 4.45, 43216
Just Listen, 4.06, 210844
Crown of Midnight (Throne of Glass #2), 4.49, 196850
The Woman in White, 3.98, 105693
Ishmael: An Adventure of the Mind and Spirit, 3.98, 67169
Acheron (Dark-Hunter #14), 4.59, 48499
The Unbecoming of Mara Dyer (Mara Dyer #1), 4.09, 131922
Lady Chatterley's Lover, 3.49, 78144
Dead to the World (Sookie Stackhouse #4), 4.13, 214502
The Truth About Forever, 4.13, 186844
Unwind (Unwind #1), 4.18, 156745
The War of the Worlds, 3.80, 186593
The Glass Menagerie, 3.68, 94679
The Polar Express, 4.29, 177515
Hamlet, 4.01, 590057
Hunted (House of Night #5), 3.93, 147852
Nine Stories, 4.19, 118575
Silence (Hush Hush #3), 4.16, 203988
I Am Number Four (Lorien Legacies #1), 3.94, 275434
Sarah's Key, 4.14, 352962
Much Ado About Nothing, 4.06, 188315
Being and Time, really liked it 4.00, 15978
Demian. Die Geschichte von Emil Sinclairs Jugend, 4.11, 51510
The Last Lecture, 4.25, 253167
The Bronze Horseman (The Bronze Horseman #1), 4.33, 50063
The Arabian Nights, 4.06, 58137
Into Thin Air: A Personal Account of the Mount Everest Disaster, 4.12, 306147
The Hours, 3.92, 108886
The Bean Trees (Greer Family #1), 3.95, 115776
Swann's Way (In Search of Lost Time #1), 4.14, 32925
Wicked Lovely (Wicked Lovely #1), 3.69, 137471
A Discovery of Witches (All Souls Trilogy #1), 3.99, 255999
I Capture the Castle, really liked it 4.00, 67288
Coraline, 4.03, 356278
P.S. I Love You, 4.01, 289011
Far from the Madding Crowd, 3.92, 99993
Twelfth Night, 3.97, 131158
Angelfall (Penryn & the End of Days #1), 4.18, 131710
Interpreter of Maladies, 4.12, 128695
Cyrano de Bergerac, 4.05, 61957
Slammed (Slammed #1), 4.28, 179411
The Horse and His Boy (Chronicles of Narnia #5), 3.90, 213823
Sabriel (Abhorsen  #1), 4.17, 148864
The Merchant of Venice, 3.79, 131446
Little House on the Prairie (Little House #2), 4.18, 207348
The Red Pyramid (Kane Chronicles #1), 4.07, 250993
World Without End (Kingsbridge #2), 4.24, 150270
Pet Sematary, 3.92, 301438
The Goose Girl (The Books of Bayern #1), 4.18, 98234
All the King's Men, 4.08, 47578
War and Peace, 4.11, 199905
Little House in the Big Woods (Little House #1), 4.16, 183295
Drums of Autumn (Outlander #4), 4.34, 151288
Peace Like a River, 3.98, 62670
The Elite (The Selection #2), 4.02, 280537
Lover Eternal (Black Dagger Brotherhood #2), 4.35, 149607
Before I Fall, 3.91, 242193
Julius Caesar, 3.66, 138630
The Last Unicorn (The Last Unicorn #1), 4.18, 81998
2001: A Space Odyssey (Space Odyssey #1), 4.12, 185723
Mythology: Timeless Tales of Gods and Heroes, 3.98, 36346
Cutting for Stone, 4.28, 288132
Speaker for the Dead (Ender's Saga #2), 4.04, 186279
Heir of Fire (Throne of Glass #3), 4.53, 153698
Ignite Me (Shatter Me #3), 4.44, 94255
The Darkest Minds (The Darkest Minds #1), 4.25, 93501
The Eyre Affair (Thursday Next #1), 3.91, 96354
Gone (Gone #1), 3.86, 157007
The Westing Game, 4.03, 127722
A Dog's Purpose (A Dog's Purpose #1), 4.35, 80481
Shadowfever (Fever #5), 4.45, 81859
No Country for Old Men, 4.13, 112737
The Memory Keeper's Daughter, 3.64, 513476
Poison Study (Study #1), 4.16, 111329
Left Behind (Left Behind #1), 3.82, 169102
Anne of Avonlea (Anne of Green Gables #2), 4.21, 110365
Possession, 3.88, 60740
I Am Legend and Other Stories, 3.99, 104873
Seabiscuit: An American Legend, 4.20, 119206
Where She Went (If I Stay #2), 4.05, 222778
We Need to Talk About Kevin, 4.07, 118159
Pretties (Uglies #2), 3.85, 206527
City of Glass (The Mortal Instruments #3), 4.34, 647968
Darkfever (Fever #1), 4.13, 126848
The History of Love, 3.91, 105519
The Talisman (The Talisman #1), 4.12, 89311
The Grapes of Wrath, 3.93, 568424
The Queen of the Damned (The Vampire Chronicles #3), 3.87, 119035
Hyperion (Hyperion Cantos #1), 4.21, 135022
Native Son, 3.96, 71232
The Secret (The Secret #1), 3.63, 258714
Rosencrantz and Guildenstern Are Dead, 4.06, 70773
Tempted (House of Night #6), 3.96, 139487
The Killer Angels (The Civil War Trilogy #2), 4.30, 63994
The Silver Chair (Chronicles of Narnia #4), 3.95, 189280
The Knife of Never Letting Go (Chaos Walking #1), 3.96, 116583
All the Light We Cannot See, 4.32, 586943
House of Sand and Fog, 3.83, 106668
John Adams, 4.05, 229143
Foucault's Pendulum, 3.89, 49977
Inheritance (The Inheritance Cycle #4), 4.08, 167225
Prince Caspian (Chronicles of Narnia #2), 3.96, 278313
Lover Unbound (Black Dagger Brotherhood #5), 4.33, 106388
The Art of War, 3.96, 214881
One for the Money (Stephanie Plum #1), 4.03, 412117
The Yellow Wallpaper and Other Stories, 4.02, 66368
The Blind Assassin, 3.95, 113812
